Name,Address,Latitude,Longitude
123 NIKKO,1280 AMSTERDAM AVENUE NYC 10027,40.8115585,-73.9578092
ACQUA RESTAURANT,2123 PECK SLIP NYC 10038,40.707719,-74.0017499
AGODA ASIAN CUISINE,8 MURRAY ST NYC 10007,40.7131716,-74.0076858
AJISEN RAMEN,14 MOTT STREET NYC 10013,40.71418765,-73.9985037064801
AKBAR PALACE,47 W 55TH ST NYC 10019,40.76268775,-73.9767403452892
ALEEF COFFEE HOUSE,333 WEST 39TH STREET NYC 10018,40.7561691,-73.9925740946749
AMAZE,401 EAST 58TH STREET NYC 10022,40.7589687,-73.9621451
AMAZING 66 RESTAURANT,66 MOTT STREET NYC 10013,40.7161112,-73.9980554
AMICI 36,519 8TH AVE NYC 10018,40.7533389,-73.9928586
ANGEL CANDY STORE,634 WEST 207TH STREET NYC 10034,40.868253,-73.9216911666667
ANGORA,539 9TH AVE NYC 10018,40.7571191,-73.9938011
ANTOJITOS RETAURANT,125A NAGLE AVE NYC 10040,40.8616308,-73.9247907
ARBOR BISTRO,226 WEST HOUSTON STREET NYC 10014,40.72870565,-74.0048551533115
ARCO CAFE,886 AMSTERDAM AVE NYC 10025,40.7987331,-73.9672188
ARIYOSHI JAPANESE RESTAURANT,226 EAST 53RD STREET NYC 10022,40.7570643,-73.9684091769222
AROME CAFE 32,138 WEST 32ND STREET NYC 10001,40.7489170612245,-73.9899025918367
ASIA KAN,710 AMSTERDAM AVENUE NYC 10025,40.7931896,-73.9713552995
A-WAH RESTAURANT,5 CATHERINE STREET NYC 10038,40.713791,-73.9973074
BANGAL CURRY,27 PARK PLACE NYC 10007,40.7132844,-74.0089762
BASSANOVA RAMEN,76 MOTT ST NYC 10013,40.71641765,-73.9978158960687
BEDFORD FALLS,206 EAST 67TH STREET NYC 10065,40.76611235,-73.9625418831216
BELGIUM BEER CAFE,220 5TH AVE NYC 10001,40.7437371,-73.9884558384338
BENITO ONE,174 MULBERRY STREET NYC 10013,40.7199657,-73.9968040608781
BENTON CAFE,123 WILLIAM ST NYC 10038,40.7093246,-74.0071389544799
BETWEEN THE BREAD,145 WEST 55TH STREET NYC 10019,40.76403475,-73.9799304065573
BIG WONG RESTAURANT,67 MOTT ST NYC 10013,40.71624875,-73.998447919163
BLACK TREE,131 ORCHARD ST NYC 10002,40.719721,-73.9895212
BLEECKER KITCHEN & CO,643 BROADWAY NYC 10012,40.7267174,-73.9958816
BLOSSOM,187 9TH AVENUE NYC 10011,40.7455163,-74.0023727123738
BLUE DOG CAFE,155 W 56TH ST NYC 10019,40.764679,-73.9797209
Bouley Botanical,35 WHITE ST NYC 10013,40.718678,-74.0046486
BRAAI,329 WEST 51ST STREET NYC 10019,40.76365,-73.9867731777285
BREAK ROOM,83 BAXTER ST NYC 10013,40.7166236,-73.999774
BRICCO RESTAURANT,304 WEST 56TH STREET NYC 10019,40.7660484,-73.9840285019697
BROOKDALE,455 NORTH END AVENUE NYC 10282,40.7175679,-74.0144385795301
BUTTERCUP BAKE SHOP,167 MADISON AVE NYC 10016,40.7469336,-73.9833733
CABRINI 181,854 WEST 181ST STREET NYC 10033,40.8512546433536,-73.9409766363412
CAFE EL PORTAL,174 ELIZABETH ST NYC 10012,40.72100015,-73.9946585
CAFE EUROPA,545 5TH AVENUE NYC 10017,40.7551236,-73.9794545
CAFE EXCHANGE,49 BROADWAY NYC 10006,40.7066051,-74.0128243
CAFE PRAGUE,2 WEST 19TH STREET NYC 10011,40.739076,-73.99157
CAFFE BACIO,1223 3RD AVENUE NYC 10021,40.7687756666667,-73.9611863333333
CAPIZZI,547 9TH AVENUE NYC 10018,40.75748565,-73.99366485
CARVAL PIZZERIA,1544 MADISON AVE NYC 10029,40.79273455,-73.9504187513909
CASCABEL TAQUERIA,2799 BROADWAY NYC 10025,40.8029449,-73.9679801
